[2023-05-07 15:40:10,603] [MainThread:17196] [task_id:ddd] [src.py:22] [INFO] [这是logger3产生的最复杂的日志。。。。。]
[2023-05-07 15:45:07,073] [MainThread:12092] [日子的名字:ddd] [src.py:22] [INFO] [这是logger3产生的最复杂的日志。。。。。]
[2023-05-07 16:08:15,770] [MainThread:17612] [日子的名字:ddd] [src.py:22] [INFO] [这是logger3产生的最复杂的日志。。。。。]
[2023-05-07 16:08:15,770] [MainThread:17612] [日子的名字:用户交易] [src.py:26] [INFO] [这是交易logger4的日常运行日志。。。。。]
[2023-05-07 16:09:13,826] [MainThread:12036] [日子的名字:ddd] [src.py:22] [INFO] [这是logger3产生的最复杂的日志。。。。。]
[2023-05-07 16:09:13,826] [MainThread:12036] [日子的名字:用户交易] [src.py:26] [INFO] [这是交易logger4的日常运行日志。。。。。]
[2023-05-07 16:09:13,827] [MainThread:12036] [日子的名字:提现操作] [src.py:30] [INFO] [这是交易logger5的日常运行日志。。。。。]
[2023-05-07 16:38:37,701] [MainThread:8144] [日子的名字:ddd] [src.py:22] [INFO] [这是logger3产生的最复杂的日志。。。。。]
[2023-05-07 16:40:14,396] [MainThread:25040] [日子的名字:ddd] [src.py:22] [INFO] [这是logger3产生的最复杂的日志。。。。。]
[2023-05-07 16:42:51,395] [MainThread:14832] [日子的名字:ddd] [src.py:22] [INFO] [这是logger3产生的最复杂的日志。。。。。]
[2023-05-07 16:42:51,395] [MainThread:14832] [日子的名字:用户交易] [src.py:26] [INFO] [这是交易logger4的日常运行日志。。。。。]
[2023-05-07 16:42:51,395] [MainThread:14832] [日子的名字:提现操作] [src.py:30] [INFO] [这是交易logger5的日常运行日志。。。。。]
[2023-05-07 16:42:51,395] [MainThread:14832] [日子的名字:提现操作] [src.py:35] [INFO] [进行日志轮转功能验证，这是logger6产生的日志，哈哈哈]
[2023-05-07 16:43:41,670] [MainThread:25516] [日子的名字:ddd] [src.py:22] [INFO] [这是logger3产生的最复杂的日志。。。。。]
[2023-05-07 16:43:41,670] [MainThread:25516] [日子的名字:用户交易] [src.py:26] [INFO] [这是交易logger4的日常运行日志。。。。。]
[2023-05-07 16:43:41,670] [MainThread:25516] [日子的名字:提现操作] [src.py:30] [INFO] [这是交易logger5的日常运行日志。。。。。]
[2023-05-07 16:43:41,670] [MainThread:25516] [日子的名字:提现操作] [src.py:35] [INFO] [进行日志轮转功能验证，这是logger6产生的日志，哈哈哈]
[2023-05-07 16:47:30,671] [MainThread:23228] [日子的名字:ddd] [src.py:22] [INFO] [这是logger3产生的最复杂的日志。。。。。]
[2023-05-07 16:47:30,671] [MainThread:23228] [日子的名字:用户交易] [src.py:26] [INFO] [这是交易logger4的日常运行日志。。。。。]
[2023-05-07 16:47:30,672] [MainThread:23228] [日子的名字:提现操作] [src.py:30] [INFO] [这是交易logger5的日常运行日志。。。。。]
[2023-05-07 16:47:30,672] [MainThread:23228] [日子的名字:提现操作] [src.py:35] [INFO] [进行日志轮转功能验证，这是logger6产生的日志，哈哈哈]
[2023-05-07 17:14:47,171] [MainThread:21668] [日子的名字:ddd] [src.py:23] [INFO] [这是logger3产生的最复杂的日志。。。。。]
[2023-05-07 17:14:47,171] [MainThread:21668] [日子的名字:用户交易] [src.py:27] [INFO] [这是交易logger4的日常运行日志。。。。。]
[2023-05-07 17:14:47,171] [MainThread:21668] [日子的名字:提现操作] [src.py:31] [INFO] [这是交易logger5的日常运行日志。。。。。]
